ts,slug,token_id,decision_type,mid,action_side,action_price,action_size,spread,sport,ref_source,fair_a,fair_b,momentum,symbol,book_edge_delta,book_size_mult,retrieved_categories,exit_sweep,crypto_exit,exit_reason,exit_reason_category,pnl_pct_at_exit,cash_pnl_usdc,realized_pnl,percent_pnl_current,outcome,market_resolved,holding_hours
2026-06-10T23:11:15.660992+00:00,btc-updown-4h-1781121600,,hold,0.025,,,,,,,,,-0.00013174651969609995,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:15.803350+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,-0.00013174651969609995,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:16.243846+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:16.607245+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,entry,0.265,BUY,0.277,3.9480,,,,,,-0.00013174651969609995,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,unknown,,
2026-06-10T23:11:26.160641+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.0005,SELL,-0.0025,113.84,,,,,,,,,,,True,,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.2
2026-06-10T23:11:26.716292+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,exit,0.265,SELL,0.262,14.60,,,,,,,,,,,True,,TAKE-PROFIT: +45.3% >= 8.0% — locking gains,TAKE-PROFIT,45.3,,,,win,,0.0
2026-06-10T23:11:30.351867+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.9995,SELL,0.9965,113.84,,,,,,,,,,,,True,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.2
2026-06-10T23:11:31.658284+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,exit,0.265,SELL,0.262,14.60,,,,,,,,,,,,True,TAKE-PROFIT: +45.3% >= 8.0% — locking gains,TAKE-PROFIT,45.3,,,,win,,0.0
2026-06-10T23:11:31.805307+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:31.862847+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.0010306334049394997,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:32.286395+00:00,btc-updown-4h-1781121600,,hold,0.025,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:32.293563+00:00,bitcoin-up-or-down-june-10-2026-9pm-et,,hold,0.5,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:32.442850+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:42.079916+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.0005,SELL,-0.0025,113.84,,,,,,,,,,,True,,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.2
2026-06-10T23:11:45.866921+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.9995,SELL,0.9965,113.84,,,,,,,,,,,,True,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.2
2026-06-10T23:11:46.652045+00:00,btc-updown-5m-1781145900,,hold,0.505,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:47.082170+00:00,btc-updown-4h-1781121600,,hold,0.025,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:47.096234+00:00,nba-sas-nyk-2026-06-10,,hold,0.455,,,,0.01,nba,espn/draftkings,0.448558885283451,0.551441114716549,,,0.0025,0.96,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:47.145964+00:00,bitcoin-up-or-down-june-10-2026-9pm-et,,hold,0.5,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:47.462363+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.0010306334049394997,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:11:48.682432+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,entry,0.275,BUY,0.28700000000000003,3.9480,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,unknown,,
2026-06-10T23:11:58.283406+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.0005,SELL,-0.0025,113.84,,,,,,,,,,,True,,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.2
2026-06-10T23:11:58.826401+00:00,bitcoin-up-or-down-june-10-2026-7pm-et,10248358496852519812477331365143765269545415735175701257151893346543498788058,exit,0.285,SELL,0.282,13.14,,,,,,,,,,,True,,TAKE-PROFIT: +72.2% >= 8.0% — locking gains,TAKE-PROFIT,72.2,,,,win,,0.0
2026-06-10T23:12:02.311660+00:00,bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,exit,0.9995,SELL,0.9965,113.84,,,,,,,,,,,,True,STOP-LOSS: -78.7% <= -5.0% — cutting loss,STOP-LOSS,-78.7,,,,loss,,0.21
2026-06-10T23:12:02.413826+00:00,ethereum-up-or-down-june-10-2026-6pm-et,,hold,0.9995,,,,,,,,,0.0010306334049394997,ETHUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:12:02.443521+00:00,bitcoin-up-or-down-june-10-2026-9pm-et,,hold,0.5,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
2026-06-10T23:12:02.622256+00:00,btc-updown-4h-1781121600,,hold,0.025,,,,,,,,,-0.0008489242904829547,BTCUSDT,0.004,0.94,forecasting|quant_signals,,,,,,,,,hold,,
